"";"Start";"End";"Pitch";"Velocity";"Instrument"
218;"36.000";"1.000";"48.000";"0.992";"Contrabass (2)"
219;"36.000";"1.000";"60.000";"0.992";"Bassoon"
220;"36.000";"1.000";"60.000";"0.992";"Bassoon"
221;"36.000";"1.000";"60.000";"0.992";"Trumpet in C"
222;"36.000";"1.000";"60.000";"0.992";"Violin II"
223;"36.000";"1.000";"60.000";"0.992";"Violoncello (2)"
224;"36.000";"1.000";"63.000";"0.992";"Viola (2)"
225;"36.000";"1.000";"65.000";"0.992";"Clarinet in B^b"
226;"36.000";"1.000";"67.000";"0.992";"Violin II"
227;"36.000";"1.000";"69.000";"0.992";"Clarinet in B^b"
228;"36.000";"1.000";"72.000";"0.992";"Oboe"
229;"36.000";"1.000";"72.000";"0.992";"Trumpet in C"
230;"36.000";"1.000";"75.000";"0.992";"Oboe"
231;"36.000";"1.000";"75.000";"0.992";"Violin I"
232;"36.000";"1.000";"75.000";"0.992";"Violin II"
233;"36.000";"1.000";"76.000";"0.992";"Horn in E^b (2)"
234;"36.000";"1.000";"76.000";"0.992";"Horn in E^b (2)"
235;"36.000";"1.000";"84.000";"0.992";"Flute (2)"
236;"36.000";"1.000";"87.000";"0.992";"Flute (2)"
237;"38.000";"1.000";"44.000";"0.992";"Bassoon"
238;"38.000";"1.000";"44.000";"0.992";"Bassoon"
239;"38.000";"1.000";"44.000";"0.992";"Violoncello (2)"
240;"38.000";"1.000";"44.000";"0.992";"Contrabass (2)"
241;"38.000";"1.000";"48.000";"0.992";"Timpani"
242;"38.000";"1.000";"56.000";"0.992";"Violin I"
243;"38.000";"1.000";"56.000";"0.992";"Violin II"
244;"38.000";"1.000";"56.000";"0.992";"Viola (2)"
245;"38.000";"1.000";"60.000";"0.992";"Horn in E^b (2)"
246;"38.000";"1.000";"60.000";"0.992";"Trumpet in C"
247;"38.000";"1.000";"62.000";"0.992";"Clarinet in B^b"
248;"38.000";"1.000";"66.000";"0.992";"Violin I"
249;"38.000";"1.000";"66.000";"0.992";"Violin II"
250;"38.000";"1.000";"68.000";"0.992";"Clarinet in B^b"
251;"38.000";"1.000";"72.000";"0.992";"Oboe"
252;"38.000";"1.000";"72.000";"0.992";"Horn in E^b (2)"
253;"38.000";"1.000";"72.000";"0.992";"Trumpet in C"
254;"38.000";"1.000";"72.000";"0.992";"Violin I"
255;"38.000";"1.000";"72.000";"0.992";"Violin II"
256;"38.000";"1.000";"78.000";"0.992";"Oboe"
257;"38.000";"1.000";"84.000";"0.992";"Flute (2)"
258;"38.000";"1.000";"84.000";"0.992";"Flute (2)"
259;"40.000";"1.000";"43.000";"0.992";"Bassoon"
260;"40.000";"1.000";"43.000";"0.992";"Bassoon"
261;"40.000";"1.000";"43.000";"0.992";"Timpani"
262;"40.000";"1.000";"43.000";"0.992";"Violoncello (2)"
263;"40.000";"1.000";"43.000";"0.992";"Contrabass (2)"
264;"40.000";"1.000";"55.000";"0.992";"Trumpet in C"
265;"40.000";"1.000";"55.000";"0.992";"Violin I"
266;"40.000";"1.000";"55.000";"0.992";"Violin II"
267;"40.000";"1.000";"55.000";"0.992";"Viola (2)"
268;"40.000";"1.000";"61.000";"0.992";"Clarinet in B^b"
269;"40.000";"1.000";"62.000";"0.992";"Violin I"
270;"40.000";"1.000";"62.000";"0.992";"Violin II"
271;"40.000";"1.000";"64.000";"0.992";"Clarinet in B^b"
